Unnamed: 0,datetime,url,title,owner_username
83,2023-10-22 00:00:00.000000,https://www.msnbc.com/jose-diaz-balart/watch/biden-administration-reportedly-advised-israel-to-delay-potential-gaza-ground-invasion-196210245681,Biden administration reportedly advised Israel to delay potential ...,NBCNews
84,2023-10-22 00:00:00.000000,https://www.msnbc.com/ayman-mohyeldin/watch/voices-and-faces-of-war-seen-and-heard-from-inside-gaza-196195397518,Voices and faces of war seen and heard from inside Gaza,NBCNews
85,2023-10-22 00:00:00.000000,https://www.nbcnews.com/now/video/white-house-urges-israel-to-delay-its-ground-invasion-of-gaza-196193861880,White House urges Israel to delay its ground invasion of Gaza,NBCNews
86,2023-10-22 00:00:00.000000,https://www.nbcnews.com/news/world/israeli-soldiers-will-face-labyrinth-hamas-tunnels-rcna121459,'It's like being underwater': What Israeli soldiers will face inside the ...,NBCNews
87,2023-10-22 00:00:00.000000,https://www.msnbc.com/mehdi-on-msnbc/watch/-a-war-crime-aoc-condemns-both-hamas-attacks-and-israeli-air-strikes-on-gaza-196221509766,'A war crime': AOC condemns both Hamas attacks and Israeli air ...,NBCNews
88,2023-10-22 00:00:00.000000,https://www.today.com/video/concerns-grow-over-broadening-of-war-beyond-israel-and-hamas-196193349936,Concerns grow over broadening of war beyond Israel and Hamas,NBCNews
89,2023-10-21 00:00:00.000000,https://www.nbcnews.com/meet-the-press/video/israel-has-absolutely-no-intent-to-govern-gaza-after-war-with-hamas-blinken-says-196156997976,Israel has 'absolutely no intent' to govern Gaza after war with Hamas ...,NBCNews
90,2023-10-21 00:00:00.000000,https://www.msnbc.com/ali-velshi/watch/israel-and-hezbollah-exchange-warnings-as-gaza-ground-invasion-looms-196160581739,Israel and Hezbollah exchange warnings as Gaza ground invasion ...,NBCNews
91,2023-10-21 00:00:00.000000,https://www.nbcnews.com/news/world/live-blog/israel-hamas-war-live-updates-rcna121580,U.S. military presence boosted in the Middle East,NBCNews
92,2023-10-21 00:00:00.000000,https://www.msnbc.com/yasmin-vossoughian/watch/israeli-soldier-killed-three-more-injured-after-raid-on-gaza-border-196169797712,"Israeli soldier killed, three more injured after raid on Gaza border",NBCNews
93,2023-10-21 00:00:00.000000,https://www.today.com/video/first-round-of-humanitarian-aid-reaches-gaza-196155461867,First round of humanitarian aid reaches Gaza,NBCNews
94,2023-10-21 00:00:00.000000,https://www.nbcnews.com/health/health-news/tainted-water-viruses-put-gaza-residents-especially-kids-risk-rcna120868,"Tainted water and viruses put Gaza residents, especially kids, at ...",NBCNews
95,2023-10-20 00:00:00.000000,https://www.msnbc.com/ali-velshi/watch/how-nbc-news-verifies-videos-from-the-israel-hamas-war-196127301630,How NBC News verifies videos from the Israel-Hamas war,NBCNews
96,2023-10-20 00:00:00.000000,https://www.msnbc.com/weekends-with-alex-witt/watch/20-aid-trucks-allowed-into-gaza-israel-prepares-for-ground-offensive-196128325935,"20 aid trucks allowed into Gaza, Israel prepares for ground offensive",NBCNews
97,2023-10-20 00:00:00.000000,https://www.msnbc.com/american-voices/watch/video-shows-devastation-in-gaza-city-after-airstrike-on-residential-area-196138565723,Video shows devastation in Gaza City after airstrike on residential area,NBCNews
98,2023-10-20 00:00:00.000000,https://www.nbcnews.com/news/world/live-blog/israel-hamas-war-live-updates-relief-hostage-release-gaza-border-set-o-rcna121527,First aid crosses into Gaza from Egypt,NBCNews
99,2023-10-20 00:00:00.000000,https://www.msnbc.com/yasmin-vossoughian/watch/biden-releases-statement-on-humanitarian-aid-to-gaza-196133445960,Biden releases statement on humanitarian aid to Gaza,NBCNews
100,2023-10-20 00:00:00.000000,https://www.today.com/video/trucks-carrying-humanitarian-aid-enter-gaza-at-rafah-crossing-196120645648,Trucks carrying humanitarian aid enter Gaza at Rafah crossing,NBCNews
101,2023-10-20 00:00:00.000000,https://www.msnbc.com/jonathan-capehart/watch/first-aid-trucks-enter-into-gaza-196123717770,First aid trucks enter into Gaza,NBCNews
102,2023-10-19 00:00:00.000000,https://www.msnbc.com/11th-hour/watch/icrc-s-martin-schuepp-discusses-humanitarian-crisis-in-gaza-196108357716,ICRC's Martin Schuepp discusses humanitarian crisis in Gaza,NBCNews
103,2023-10-19 00:00:00.000000,https://www.today.com/video/israel-appears-on-the-verge-of-a-ground-invasion-into-gaza-196043333677,Israel appears on the verge of a ground invasion into Gaza,NBCNews
104,2023-10-19 00:00:00.000000,https://www.msnbc.com/ana-cabrera-reports/watch/israeli-defense-forces-majority-of-hostages-in-gaza-are-alive-196060229660,Israeli Defense Forces: Majority of hostages in Gaza are alive,NBCNews
105,2023-10-19 00:00:00.000000,https://www.today.com/parents/mothers-protect-children-israel-gaza-rcna121379,Two Mothers Share How They're Protecting Their Kids Amid Israel ...,NBCNews
106,2023-10-19 00:00:00.000000,https://www.msnbc.com/alex-wagner-tonight/watch/release-of-two-american-hostages-by-hamas-offers-rare-glimpse-of-hope-in-painful-war-196109381829,Release of two American hostages by Hamas offers rare glimpse of ...,NBCNews
107,2023-10-19 00:00:00.000000,https://www.nbcnews.com/news/world/live-blog/israel-hamas-war-live-updates-aid-trucks-wait-cross-gaza-another-night-rcna121348,Israel-Hamas war live updates: 2 hostages released by Hamas are ...,NBCNews
108,2023-10-19 00:00:00.000000,https://www.msnbc.com/all-in/watch/gaza-conditions-worsen-amid-food-water-fuel-shortages-196103237757,"Gaza conditions worsen amid food, water, fuel shortages",NBCNews
109,2023-10-19 00:00:00.000000,https://www.msnbc.com/the-reidout/watch/jewish-americans-demanding-a-ceasefire-in-israel-hamas-war-protested-at-white-house-capitol-this-week-196106309602,Jewish Americans demanding a ceasefire in Israel-Hamas war ...,NBCNews
0,2023-10-27 21:23:02.676207,https://www.foxnews.com/live-news/october-27-israel-hamas-war,"Israel launches second ground incursion into Gaza, Hamas commander killed in airstrike",
