url_code,time_utc,type,caption,likes,comments
CyRXqUbMVhY,2023-10-11 20:09:10,GraphImage,"Hamas’ sneak attack into Israel across a heavily fortified border has focused new attention on American borders, where Republicans say the next 9/11-style attackers may be planning to enter — or already have.⁠
⁠
Lawmakers demanded that President Biden acknowledge the risks to the U.S. and respond with more border walls, troop deployments and an end to the catch-and-release free-for-all that has allowed millions of unauthorized migrants to disperse to communities across the country.",110,7
CyRO-QoP1vr,2023-10-11 18:56:04,GraphVideo,"New episode of #BoldandBlunt: There's not a person alive who doesn't have some sort of struggle in life. So the question is: How to overcome? ⁠
⁠
Guest Rob Carson is a syndicated radio talk show host, television presence and comedy writer, but he was once an alcoholic and unhappy car salesman who learned he was the child of rape. To say he suffered some dark moments in life is an understatement.⁠
⁠
He has much to offer about overcoming adversity, staying the course, turning to God for help and rising above the circumstances of life to realize the dream.",57,5
CyRHTZ0MgNj,2023-10-11 17:46:14,GraphImage,"Black Lives Matter Chicago apparently doesn’t think Israeli lives matter.⁠
⁠
The BLM chapter tweeted an image of a paraglider with a Palestinian flag and the caption “I Stand With Palestine,” a presumed reference to the deadly attack Saturday by Hamas on concertgoers near Kibbutz Re’im in Israel.⁠
⁠
The outcry was immediate. “Black Lives Matter Defends Hamas, Salutes Killer Paragliders,” said conservative podcast host Todd Starnes in a Wednesday post on X.",208,28
CyQ_hO0Ssii,2023-10-11 16:38:11,GraphImage,The majority of GOP voters say the Republican-controlled House should choose a speaker who is loyal to former President Donald Trump and supports the impeachment inquiry into President Biden.,78,6
CyQ325Mtqbv,2023-10-11 15:34:06,GraphVideo,"On Wednesday's Front Page: President Biden has denounced the “unadulterated evil” of Hamas’ terrorist attacks on Israel, the first General Assembly election under new state legislative maps in Virginia is fast approaching, and more.",47,2
CyQwLjZNAXZ,2023-10-11 14:24:16,GraphImage,"The blaring of sirens Saturday “didn’t seem scary” at first to Abbey Onn, but the Virginia native, who has lived in Israel with her family for the past eight years and has grown accustomed to the sound, soon discovered in the most gut-wrenching way that the nation was under a terrorist attack and her family was trapped in the crossfire.",137,11
CyQok5oNd75,2023-10-11 13:19:21,GraphVideo,"#TopoftheTimes: Mexican cartel claims to swear off selling fentanyl.

Tune in as The Washington Times' Tim Constantine discusses today's top stories.",45,0
CyPG5RZMy-s,2023-10-10 23:04:08,GraphImage,President Biden’s aggressively pro-union policies have been blamed for emboldening labor leaders and fomenting the rash of strikes across the U.S. The White House insists Mr. Biden will never stop advocating for workers’ rights and collective bargaining.,44,3
CyOw0GSsotz,2023-10-10 19:51:13,GraphImage,"The 1994 FACT Act prohibits violence or threats “intended to injure, intimidate, or interfere with the right to seek, obtain or provide reproductive health services,” meaning that it applies to both abortion clinics and pro-life crisis centers, which offer services such as pregnancy testing and ultrasounds.⁠
⁠",32,2
CyOpDckp284,2023-10-10 18:46:05,GraphVideo,"Israeli Prime Minister Benjamin Netanyahu said his military has “only started” its massive counterattack against Hamas militants. ⁠
⁠
As the Israeli-Hamas clash intensifies, get the latest developments from the newsroom of The Washington Times.",123,28
CyOhW6Esfc7,2023-10-10 17:36:09,GraphImage,"President Biden was interviewed over the past two days by Robert K. Hur, the special counsel investigating whether Mr. Biden illegally mishandled classified documents found at his home and office.⁠
⁠
The interview suggests that Mr. Hur, who was appointed by Attorney General Merrick Garland in January, is nearing the end of his probe. Interviews with a person at the center of an investigation typically take place near the end of the process.",102,18
CyOZsLNM74A,2023-10-10 16:29:09,GraphImage,"The Biden administration is restarting deportations of illegal immigrants to Venezuela, officials said, vowing “harsh” consequences for those who try to jump the border moving forward.⁠
⁠
The deportation announcement came a day after Mr. Mayorkas announced he has waived 26 laws in order to speed construction of miles of border wall in southern Texas.⁠
⁠",42,6
CyOR6insdEr,2023-10-10 15:24:03,GraphVideo,"On Tuesday's Front Page: Israeli Prime Minister Benjamin Netanyahu says his military has “only started” its massive counterattack against Hamas, the atrocities committed by Hamas have weakened any U.S. support for the Palestinian cause, and more.",46,7
CyOKPjiMeDv,2023-10-10 14:14:10,GraphImage,"More than 30 Harvard University student organizations released a joint statement saying that the “Israeli regime [is] entirely responsible” for the surprise attack from Hamas that has killed hundreds of Israelis.⁠
⁠
The letter titled “Joint Statement by Harvard Palestine Solidarity Groups on the Situation in Palestine” was signed by 31 university clubs, including the school’s Amnesty International affiliate, Harvard Jews for Liberation and the Harvard Islamic Society.",223,55
CyOCVCdNMBx,2023-10-10 13:06:16,GraphVideo,"#TopoftheTimes: The Army is facing recruitment struggles.

Tune in as The Washington Times' Tim Constantine discusses today's top stories.",55,5
CyM7nvHspLw,2023-10-10 02:47:13,GraphImage,"A spokesman for Hamas said its militants will start killing one civilian hostage every time Israel strikes hit Palestinian civilians in their homes in Gaza.⁠
⁠
Video of the killings of hostages will be broadcast, said Abu Obeida, spokesman of the Qassam Brigades, the military wing of Hamas.",268,48
CyMs-IBMDH9,2023-10-10 00:39:12,GraphImage,"Several major airlines have started pulling jets from their fleets after reports found possibly faulty parts were installed.⁠
⁠",64,12
CyMdLelMu3R,2023-10-09 22:21:10,GraphImage,"Ford Motor Co. announced it will furlough an additional 450 workers this week because of the auto strike.⁠
⁠
The company said the firings will occur at two Michigan facilities: Livonia Transmission and Sterling Axle.⁠
⁠
Ford said the reason is the United Auto Workers strike. According to reports, the interconnected nature of Ford’s supply chain makes the UAW’s targeted strike strategy especially effective. Workers at the two plants affected by the layoffs make parts for Ford’s Chicago Assembly Plant, which has been hit by the UAW walkout.",70,6
CyMVadou0_i,2023-10-09 21:16:08,GraphVideo,"Palestinian, Israeli groups face off in Times Square⁠
⁠
Check out the link in our bio for more coverage on the attacks against Israel.",263,43
CyMN9hStJ4D,2023-10-09 20:08:13,GraphImage,"World reaps the seeds of terrorism sown by Biden⁠
⁠
Read more from Charlie Hurt using the link in our bio.",166,20
CyMGEEQLAUT,2023-10-09 18:59:14,GraphImage,"A Republican congressman said some lawmakers are so fearful about crime in the District, they’ve been sleeping at the Capitol.⁠
⁠
Missouri Rep. Eric Burlison said Wednesday on radio’s “Todd Starnes Show” that he and other legislators hunker down in their Capitol Hill offices because the city has become “very dangerous” after dark.⁠
⁠
“I don’t want to walk back and forth from an apartment in D.C. at night or in the morning — early morning — to get to work,” Mr. Burlison said. “It’s not a safe environment.”",75,4
CyL-b1GrTZA,2023-10-09 17:53:09,GraphVideo,"#TopoftheTimes: RNC warns against candidates participating in unsanctioned debates.

Tune in as The Washington Times' Tim Constantine discusses today's top stories.",47,4
CyL2nN1ssDF,2023-10-09 16:44:10,GraphImage,"Congressional Republicans, Republican presidential candidates and conservative critics doubled down on their condemnation of President Biden’s prisoner swap in September with Iran. As part of the deal, the U.S. unfroze $6 billion in oil revenue in exchange for the release of five Americans. Critics said Mr. Biden was indirectly enabling violence from Hamas, which controls the Gaza Strip along Israel’s southern border.",320,34
CyLu8ursId2,2023-10-09 15:40:20,GraphVideo,"On Monday's #FrontPage: Israel has declared war on Hamas after a surprise attack by the Palestinian militant group, President Biden pledged America's commitment to Israel and promised to “never fail” to have its back, and more.⁠",60,5
CyLnKbiMtwi,2023-10-09 14:29:09,GraphImage,"Sen. Josh Hawley criticized President Biden for hosting a barbecue Sunday evening at the White House during an American hostage crisis in Gaza.⁠
⁠
“While Hamas holds Americans hostage, Joe Biden is enjoying a picnic with a live band,” Mr. Hawley, Missouri Republican, posted on X above a White House pool report describing a Sunday evening barbecue hosted by Mr. Biden and first lady Jill Biden.⁠
⁠
The Washington Times has reached out to the White House for comment.",232,39
CyLgEoqstRG,2023-10-09 13:27:11,GraphImage,"At least nine Americans are dead and more are missing after the Hamas terrorist assault on Israel over the weekend, the State Department said Monday, as the death toll rises in the region’s bloodiest fighting in decades.",163,33
CyFSRLrNaEw,2023-10-07 03:31:09,GraphImage,"“The findings by 2023 Nobel Prize laureates Katalin Kariko and Drew Weissman led to the approval of two highly successful mRNA-based COVID-19 vaccines in late 2020. The vaccines have saved millions of lives and prevented severe disease in many more,” the Nobel Prize committee wrote on X.⁠
⁠",36,7
CyFJ7FrMqUS,2023-10-07 02:18:13,GraphImage,"Former Secretary of State Hillary Clinton said there needs to be a “formal deprogramming” of supporters of former President Donald Trump, calling them “cult members.”⁠
⁠
“It will require us defeating those most extreme measures and the people who promote them in order to try to get to some common ground where people can again work together,” she said. “That’s the way it used to be.”",219,93
CyFBdXpMgkT,2023-10-07 01:04:17,GraphImage,"People who often feel lonely are more likely to contract Parkinson’s disease independently of clinical depression and other risk factors such as genetics, a new study has found.⁠
⁠",51,12
CyE5GZyMAa6,2023-10-06 23:51:12,GraphImage,"Americans are pondering their annual flu shot along with a new COVID-19 vaccine at the moment. It’s complicated. And yes, there are partisan differences here.",81,24
CyEof33Mtmt,2023-10-06 21:26:10,GraphImage,"The record-high number of violent car thefts this year has spared no part of the nation’s capital. Members of Congress have been held up in swanky neighborhoods as working-class families become victims in more crime-prone areas.⁠
⁠
It has left the D.C. Metropolitan Police Department on the defensive as it tries to rein in the rampant and unpredictable carjackings.",61,6
CyEf67frwwe,2023-10-06 20:11:15,GraphImage,"Amtrak is a government-subsidized corporation that runs the national passenger train service in the U.S. The company received $6.6 billion from the Federal Railroad Administration last year and another $6.8 billion this fiscal year. In 2020, when ridership was down 90% due to the pandemic, it received $1 billion from the CARES Act and another $1.7 billion in 2021 from the American Rescue Plan.",55,8
