url_code,time_utc,type,caption,likes,comments
CyioJK9vGAv,2023-10-18 13:00:10,GraphImage,BAD JAB: Jets quarterback Aaron Rodgers takes a swipe at Anthony Fauci while discussing injury rehab. Link in bio.,71090,1167
CyihRqUsFGM,2023-10-18 12:00:09,GraphImage,"'YOU ARE NOT ALONE': President Biden makes it clear to the world that the United States will work to defend Israel and ""prevent more tragedy"" amid deadly terror attacks by Hamas. Live updates at the link in bio.",7730,1905
Cyiaip9s6We,2023-10-18 11:01:18,GraphImage,"DEVIL'S IN THE DETAILS: The new report contradicts popular talking points recited by prominent liberals like California Gov. Gavin Newsom and billionaire George Soros.
Link in bio.",21151,1699
CyiTj8QMuGI,2023-10-18 10:00:19,GraphImage,"'INN'SANITY: The Dem-backed initiative would decimate the hotel industry and put employees at risk, expert says. Link in bio.",5785,1005
CyiMrbXOsUR,2023-10-18 09:00:11,GraphImage,BARING IT ALL: The actress is opening up at the link in bio.,5350,1591
CyiFz1pM_Xq,2023-10-18 08:00:09,GraphImage,'LAW IS CLEAR': Sen. Tom Cotton urges DHS to remove individuals in the US on student visas who have verbally backed Hamas. Link in bio.,19029,1667
Cyh-8kasbU0,2023-10-18 07:00:10,GraphImage,'OUT OF YOUR CONTROL': Martina Navratilova found out she had two types of cancer at the same time and is now celebrating seven months of being cancer-free. Link in bio.,6495,318
Cyh4Ez4NaWc,2023-10-18 06:00:09,GraphImage,TECH TAKEOVER: One expert warns how the breakthrough industry isn't just coming for white-collar workers at the link in bio.,3435,291
CyhxNVjNDF8,2023-10-18 05:00:08,GraphImage,‘SLAP IN THE FACE’: Fox News host Sean Hannity calls out Joe Biden after world leaders cancel on him ahead of his trip to the Middle East.,9533,949
Cyhcnj-h01s,2023-10-18 02:00:13,GraphImage,KNOCK ON HER DOOR: How the actress transformed into the fitness queen and grew her empire at the link in bio.,4471,258
CyhVwenr1ir,2023-10-18 01:00:17,GraphImage,"HOUSE RULES: Sen. @marshablackburn calls for 'immediate' halt of US aid to Palestinians, says it will end up in 'the hands of Hamas.' Link in bio.",19917,1712
CyhO52gNkip,2023-10-18 00:00:23,GraphImage,REVENANT ROOMIE: The icy message that will send chills up and down your spine at the link in bio.,17307,795
CyhIAe8tqvx,2023-10-17 23:00:07,GraphImage,TENSION RISING: The latest on the fast-moving developments at the link in bio.,7582,1707
CyhBJpXRf4_,2023-10-17 22:00:13,GraphImage,CALLED OFF: The reasons for the move and what it means for the ongoing conflict at the link in bio.,11593,3106
Cyg6R5qrpgs,2023-10-17 21:00:09,GraphImage,"THIS THE END? The next steps that could put the ""Rust"" star in legal peril at the link in bio.",14810,1389
Cygza4QJmHT,2023-10-17 20:00:13,GraphImage,"UGLY TRUTH: ""Pray for Israel because we can’t breathe."" Link in bio.",28191,3561
Cygsiy1Lz93,2023-10-17 19:00:09,GraphImage,DOLLARS AND SENSE: Sen. @marshablackburn stands with Israel as GOP tries to freeze Iran's $6 billion 'ransom' payment.,18682,1834
Cyglrf7yltM,2023-10-17 18:00:10,GraphImage,‘IT WAS A SURPRISE’: The pop star details the hard decision in her new memoir. Link in bio.,15994,1573
Cyge1wGpE3a,2023-10-17 17:00:44,GraphVideo,WATCH: Couple shuts door right before armed robber could get inside after following them home. Link in bio.,79390,5017
CygYn_Ws6kj,2023-10-17 16:06:04,GraphImage,"'NO PLACE': Sen. Tom Cotton calls on DHS to deport foreign nationals, including those in US on student visas, who have expressed support for Hamas. Link in bio.",37766,2579
CygQIgXsgv6,2023-10-17 14:52:04,GraphVideo,'NO ONE CAN DESTROY LOVE': Young Israeli couple tie the knot surrounded by their military unit as Israel's war against Hamas intensifies.,10577,1175
CygKNqCNv2_,2023-10-17 14:00:09,GraphImage,"POINT OF CONTENTION: USA Fencing implemented its own transgender and nonbinary athlete policy last year, allowing biological men to compete against women. Link in bio.",17099,3483
CygDWrys2ls,2023-10-17 13:00:13,GraphImage,"HISTORY REPEATING ITSELF? ""Joe Biden's presidency has so many similarities to the catastrophes of the Jimmy Carter years, it's almost eerie,"" writes Liz Peek. Link in bio.",26800,3662
Cyf8f0QM9Z5,2023-10-17 12:00:18,GraphImage,IN THE SPOTLIGHT: The far-left congresswoman has recently been criticized for displaying a Palestinian flag outside her Capitol Hill office. Link in bio.,6059,3773
Cyf2PYDMlwh,2023-10-17 11:05:37,GraphImage,'IRAN SYMPATHIZER': Republican lawmakers expose the Biden-nominee at the link in bio.,8542,436
CyfuwJzRzrC,2023-10-17 10:00:12,GraphImage,"'SHAMEFUL': One professor has a message for companies looking to fill open positions — ""Treat these law students like the adults they are."" Why he says it's ""your duty"" to not hire them at the link in bio.",14372,637
Cyfn4zqMfwq,2023-10-17 09:00:13,GraphImage,"'SHOCKED AND SICKENED': The child was stabbed 26 times. Devastating details about the ""horrific act of hate"" at the link in bio.",9100,1639
CyfhA_qsaDQ,2023-10-17 08:00:09,GraphImage,CASH-OUT: Sam Bankman-Fried’s legal team shares the critical test underway today at the link in bio.,5352,415
CyfaJuAMzU2,2023-10-17 07:00:11,GraphImage,'SIMPLE AS THAT': The four-time Super Bowl champ slams the idea of biological men competing in women's sports. Link in bio.,28709,417
CyfTSNlN-O_,2023-10-17 06:00:10,GraphImage,‘EXTREMELY IMPORTANT’: Dr. Qanta Ahmed calls on Muslims around the world to condemn the terrorist group wreaking havoc on Israel. Link in bio.,20623,2092
CyfFkNAtCly,2023-10-17 04:00:38,GraphVideo,"'CAN NEVER HAPPEN AGAIN': Drone expert and former U.S. intelligence soldier Brett Velicovich says Americans need to give Israel the time and space to ""crush Hamas once and for all,"" blasts calls for a ceasefire on ""Jesse Watters Primetime.""",8152,604
Cye-ruwN9pb,2023-10-17 03:00:10,GraphImage,"'SECURITY WILL BE RESTORED': Israeli soldier gives update on war with Hamas, saying it's time to show the terrorists ""that terror will not"" continue. He provides details about new developments at the link in bio.",22037,1563
Cye30R2NKBV,2023-10-17 02:00:10,GraphImage,‘PAY THE PRICE’: The fiery response to the story igniting backlash at the link in our bio.,28032,2434
CyeyHr1OIwG,2023-10-17 01:11:06,GraphVideo,'WE HAVE ENOUGH PROBLEMS': @jessewatters reacts after some progressive lawmakers advocate for the U.S. to allow Palestinians to seek asylum in Manhattan.,32113,3127
Cyev2Fyun8t,2023-10-17 00:50:30,GraphImage,"U.S. TERROR VICTIMS: At least 30 Americans have died in the Israel-Hamas war, and 13 Americans are still missing. We remember the victims at the link in bio.",28097,1777
CyejP15x-LC,2023-10-16 23:00:25,GraphImage,"'HAVE YOU BEEN SLEEPING?': The Israeli government appeared to share a ""fixed"" version of the model's post with their own message. They single her out at the link in bio.",17470,2208
Cyee802NZmF,2023-10-16 22:22:52,GraphImage,"CRUNCH TIME: Rep. Jim Jordan pledges to ""bring all Republicans together"" as he rushes to consolidate support on the eve of the speaker election. His message to colleagues is at the link in bio.",16842,1120
CyeVfg3SXzw,2023-10-16 21:00:18,GraphImage,"ON THE BANDWAGON: ""There’s very little ‘truth’ happening on TruthSocial, but at least now it’ll be a little fun,"" the Biden campaign tells Fox News Digital. Exclusive details at the link in bio.",7273,1511
CyeOnklP1tR,2023-10-16 20:00:10,GraphImage,"'DEFIES COMPREHENSION': @piersmorgan blasts Pro-Palestinian protests and calls out major media outlet for ""unconscionable"" language when discussing the conflict. He confronts the ""completely disgusting"" rhetoric at the link in bio.",22693,1246
CyeKEj8sF6j,2023-10-16 19:20:26,GraphImage,DOUBLING DOWN: CEO defends sharing list of Harvard students who signed pro-Palestinian letter. Link in bio.,36094,2354
Cyd_80ZJzjo,2023-10-16 17:51:59,GraphImage,‘VERY GRATEFUL’: The 16-year-old fulfilled the last wish of a woman she never met. Link in bio.,14238,332
Cyd4iMEJgKJ,2023-10-16 16:47:18,GraphVideo,"MAGICAL MILESTONE: Happy 100th Birthday, @disney!",4285,375
CydzrKLMvyF,2023-10-16 16:05:25,GraphVideo,SEE IT: 'FOX & Friends' honors the life and legacy of frequent guest Suzanne Somers.,3768,211
CydtPloNS8G,2023-10-16 15:08:55,GraphVideo,WATCH: Incredible moment elite Israeli forces spray machine gun fire at Hamas boat.,77526,3829
Cydrlt4MD-R,2023-10-16 14:54:04,GraphImage,SELFLESS SACRIFICE: Cardinal Pierbattista Pizzaballa made the heartfelt offer as the terrorist group holds at least 199 people hostage including Americans and children. Link in bio.,11517,725
CydkewUNvu2,2023-10-16 13:51:57,GraphImage,‘EVERYTHING IN OUR POWER’: The president in the hot seat as several Americans remain hostage to Hamas terrorists. Link in bio.,5528,1261
CydbtPgsv_V,2023-10-16 12:35:18,GraphImage,‘MISS HER DEARLY’: The beloved actress passed away at 76 following a battle with cancer. Link in bio.,7802,355
CydTB1fxCRd,2023-10-16 11:19:28,GraphImage,'GOD BLESS Y'ALL': Singer Craig Morgan praised first responders after a shooting left 3 injured at at the State Fair of Texas. Link in bio.,11381,403
CydJ-MkxEf1,2023-10-16 10:00:19,GraphImage,DECISION IS IN: The crowded race to fill a top seat ahead of the 2024 elections has one clear winner. Link in bio.,15653,716
CydDGBoOG7d,2023-10-16 09:00:13,GraphImage,GOING BACKWARDS: New York mayor rips universities that once produced academic achievement and 'geniuses' to now churning out hate speech and antisemitism. Link in bio.,24348,2254
Cyc8OiJuVIV,2023-10-16 08:00:13,GraphImage,"SITTIN' 'PURDY': The four-time Super Bowl champ explains why the young signal caller is ""the man"" at the link in bio.",12727,342
